size,num_rooms,rent_price,location,url
2114 m²,T2,"1,900€/monthParking included","Alto dos Moinhos, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34072713/
260 m²,T2,"1,650€/month","rua Damasceno Monteiro, 64, Anjos, Arroios",https://www.idealista.pt/en/imovel/34071398/
265 m²,T2,"1,300€/month","rua Angelina Vidal, 42, Centro, Penha de França",https://www.idealista.pt/en/imovel/34071081/
149 m²,T1,"1,750€/monthParking included","avenida Elias Garcia, 67, Campo Pequeno, Avenidas Novas",https://www.idealista.pt/en/imovel/34068323/
262 m²,T2,"2,100€/month","rua das Pedreiras, Centro, Belém",https://www.idealista.pt/en/imovel/34059669/
144 m²,T1,800€/month,"travessa do Rosário de Santa Clara, São Vicente de Fora, São Vicente",https://www.idealista.pt/en/imovel/34064968/
298 m²,T2,"1,090€/month","rua do Embaixador, 124, Centro, Belém",https://www.idealista.pt/en/imovel/33864529/
159 m²,T1,"1,400€/month1,500 €7%","avenida Conselheiro Fernando de Sousa, Centro, Campolide",https://www.idealista.pt/en/imovel/33940798/
261 m²,T2,"1,000€/month","rua Dom Fuas Roupinho, Alto de São João - Alto do Varejão, Penha de França",https://www.idealista.pt/en/imovel/34070846/
2100 m²,T2,"3,150€/monthParking included","rua Alexandre Herculano, Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/34070252/
284 m²,T2,"1,300€/month","rua Saraiva de Carvalho, Largo do Rato - Estrela, Campo de Ourique",https://www.idealista.pt/en/imovel/34068934/
140 m²,T1,"1,200€/month1,350 €11%","caminho de Palma de Cima, 2, Laranjeiras, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34071308/
2134 m²,T2,"3,200€/month3,500 €9%","largo das Palmeiras, Nn, Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/33865999/
171 m²,T1,"1,300€/month","avenida General Roçadas, Nn, Centro, Penha de França",https://www.idealista.pt/en/imovel/34070915/
296 m²,T2,"3,350€/month","Largo do Rato - Estrela, Campo de Ourique",https://www.idealista.pt/en/imovel/34074193/
264 m²,T2,"1,300€/month","rua Dom Fuas Roupinho, 26, Alto de São João - Alto do Varejão, Penha de França",https://www.idealista.pt/en/imovel/34073627/
160 m²,T1,"3,867€/month4,200 €8%","rua São José, Av. da Liberdade - Marquês de Pombal, Santo António",https://www.idealista.pt/en/imovel/34053308/
2104 m²,T2,"2,500€/monthParking included","estrada das Laranjeiras, 130, Sete Rios, São Domingos de Benfica",https://www.idealista.pt/en/imovel/33896201/
2168 m²,T2,"3,500€/month","Praça da Alegria, Santo António",https://www.idealista.pt/en/imovel/34070225/
2119 m²,T2,"2,450€/monthParking included","praceta Teófilo Ferreira, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/en/imovel/34083290/
276 m²,T2,"1,100€/month",,https://www.idealista.pt/en/imovel/34070246/
154 m²,T1,"1,200€/month","rua Cláudio Nunes, Nn, Arneiros, Benfica",https://www.idealista.pt/en/imovel/34068028/
2115 m²,T2,"1,800€/month","rua Jorge Castilho, Casal Vistoso, Areeiro",https://www.idealista.pt/en/imovel/34080605/
295 m²,T2,"2,000€/month","rua Coelho da Rocha, Nn, Centro, Campo de Ourique",https://www.idealista.pt/en/imovel/34072364/
155 m²,T1,"1,600€/month","travessa da Arrochela, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34020738/
2115 m²,T2,"1,500€/month1,600 €6%","Avenida do Uruguai, Benfica",https://www.idealista.pt/en/imovel/34071000/
280 m²,T2,"1,250€/month","travessa Giestal, 21, Alto de Alcântara, Alcântara",https://www.idealista.pt/en/imovel/34073955/
1110 m²,T1,"1,600€/monthParking included",,https://www.idealista.pt/en/imovel/34067216/
272 m²,T2,"1,450€/month","rua b Ao Bairro da Liberdade, 85, Bairro da Serafina, Campolide",https://www.idealista.pt/en/imovel/34079586/
155 m²,T1,975€/month,"travessa dos Inglesinhos, 27, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/34074325/
262 m²,T2,"1,350€/month","rua José Lins do Rego, Nn, Campo Grande, Alvalade",https://www.idealista.pt/en/imovel/34071095/
170 m²,T1,"1,800€/month","rua Eduardo Coelho, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34084578/
265 m²,T2,"1,325€/month","rua Martins Barata, Torre de Belém, Belém",https://www.idealista.pt/en/imovel/34070247/
160 m²,T1,"2,200€/monthParking included","avenida da Liberdade, 49, Praça da Alegria, Santo António",https://www.idealista.pt/en/imovel/34071134/
150 m²,T1,"1,600€/month",,https://www.idealista.pt/en/imovel/34073860/
150 m²,T1,"1,100€/month","rua de São Marçal, Nn, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34072263/
