size,num_rooms,rent_price,location,url
50 m²,T1,1300€/month,"rua Coronel Pereira da Silva, Centro, Ajuda",https://www.idealista.pt/en/imovel/34048399/
119 m²,T2,3300€/month,"rua Actor Taborda, Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/31830537/
98 m²,T1,2100€/month,"Beato, Lisboa",https://www.idealista.pt/en/imovel/34046613/
90 m²,T2,2800€/month,"Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34051326/
100 m²,T1,2500€/month,"Santos-o-Velho - Madragoa, Estrela",https://www.idealista.pt/en/imovel/34057943/
100 m²,T2,2950€/month,"Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/34048290/
152 m²,T2,3300€/month,"rua Padre Luís Aparício, Nn, Campo de Santana - Santa Marta, Santo António",https://www.idealista.pt/en/imovel/34059251/
54 m²,T1,1500€/month,"avenida Defensores de Chaves, Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34039820/
90 m²,T2,2000€/month,"travessa do Noronha, 22, Príncipe Real, Santo António",https://www.idealista.pt/en/imovel/34048483/
118 m²,T2,1500€/month,"rua Teófilo Carvalho dos Santos, 11, Telheiras, Lumiar",https://www.idealista.pt/en/imovel/34053382/
61 m²,T2,1200€/month,"travessa Fornos, Nn, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/en/imovel/34042180/
118 m²,T2,2500€/month,"rua Doutor António Cândido, 8, São Sebastião da Pedreira, Avenidas Novas",https://www.idealista.pt/en/imovel/34050926/
112 m²,T2,2950€/month,"Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34055836/
74 m²,T2,1150€/month,"Marvila, Lisboa",https://www.idealista.pt/en/imovel/34056088/
75 m²,T2,3667€/month,"estrada da Luz, Laranjeiras, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34053143/
50 m²,T2,5000€/month,"praça Dom Luís I, Cais do Sodré - Santos, Misericórdia",https://www.idealista.pt/en/imovel/34053178/
50 m²,T2,7167€/month,"rua Augusta, Baixa, Santa Maria Maior",https://www.idealista.pt/en/imovel/34053173/
50 m²,T1,3200€/month,"praça Dom Luís I, Cais do Sodré - Santos, Misericórdia",https://www.idealista.pt/en/imovel/34057390/
87 m²,T2,5500€/month,"rua da Bombarda, Anjos, Arroios",https://www.idealista.pt/en/imovel/34053117/
50 m²,T2,6333€/month,"rua de Santa Justa, Baixa, Santa Maria Maior",https://www.idealista.pt/en/imovel/34053126/
40 m²,T1,4067€/month,,https://www.idealista.pt/en/imovel/34053150/
50 m²,T2,3400€/month,"rua das Taipas, Praça da Alegria, Santo António",https://www.idealista.pt/en/imovel/34053122/
45 m²,T1,3200€/month,"rua das Praças, Lapa, Estrela",https://www.idealista.pt/en/imovel/34053145/
60 m²,T2,3867€/month,"rua São Francisco Borja, Lapa, Estrela",https://www.idealista.pt/en/imovel/34053142/
43 m²,T1,2733€/month,"travessa dos Pescadores, Cais do Sodré - Santos, Misericórdia",https://www.idealista.pt/en/imovel/34053062/
135 m²,T2,7167€/month,"rua da Madalena, Baixa, Santa Maria Maior",https://www.idealista.pt/en/imovel/34053190/
138 m²,T2,2800€/month,"avenida Dom João II, 401, Expo Central, Parque das Nações",https://www.idealista.pt/en/imovel/34055815/
115 m²,T2,1950€/month,"rua Dom Luís de Noronha, Gulbenkian - Praça Espanha, Avenidas Novas",https://www.idealista.pt/en/imovel/34054412/
50 m²,T2,5633€/month,"rua da Boavista, Santa Catarina, Misericórdia",https://www.idealista.pt/en/imovel/34057391/
80 m²,T2,4667€/month,"rua de São Julião, Baixa, Santa Maria Maior",https://www.idealista.pt/en/imovel/34053155/
